w, x, y, z
0.9996,-0.0159,0.0231,0.0000
0.9996,-0.0159,0.0232,0.0000
0.9996,-0.0159,0.0231,0.0001
0.9996,-0.0159,0.0230,0.0000
0.9996,-0.0159,0.0228,0.0001
0.9996,-0.0159,0.0229,0.0000
0.9996,-0.0159,0.0233,0.0000
0.9996,-0.0161,0.0230,0.0000
0.9996,-0.0161,0.0228,-0.0001
0.9996,-0.0161,0.0229,0.0000
0.9996,-0.0159,0.0229,0.0000
0.9996,-0.0159,0.0229,0.0000
0.9996,-0.0159,0.0231,0.0000
0.9996,-0.0161,0.0228,0.0000
0.9996,-0.0159,0.0230,0.0000
0.9996,-0.0161,0.0231,0.0000
0.9996,-0.0159,0.0231,0.0000
0.9996,-0.0159,0.0231,0.0001
0.9996,-0.0160,0.0231,0.0000
0.9996,-0.0160,0.0232,0.0000
0.9996,-0.0159,0.0234,0.0000
0.9996,-0.0159,0.0235,0.0000
0.9996,-0.0160,0.0233,0.0000
0.9996,-0.0161,0.0232,0.0000
0.9996,-0.0159,0.0234,-0.0001
0.9996,-0.0159,0.0235,-0.0001
0.9996,-0.0159,0.0236,0.0001
0.9996,-0.0159,0.0234,0.0000
0.9996,-0.0159,0.0234,0.0000
0.9996,-0.0159,0.0234,0.0000
